"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"2695",2695,117386,"1/11/18","Serious Assault Not Resulting in Injury","Adelaide.",2148800,"Wellington City.","Wellington/ Lower-Central North"
"2696",2696,117393,"1/11/18","Serious Assault Resulting in Injury","Waitara East.",1549904,"New Plymouth District.","West Coast/ Upper-Central North"
"2697",2697,117398,"1/11/18","Serious Assault Resulting in Injury","Judea.",1162502,"Tauranga City.","Bay Of Plenty"
"2698",2698,117404,"1/11/18","Common Assault","Otakaro Park.",3108100,"Invercargill City.","Southland/ Otago"
"2699",2699,117409,"1/11/18","Common Assault","Stanley Park.",1138400,"South Waikato District.","Waikato"
"2700",2700,117414,"1/11/18","Common Assault","Tamarau.",1385000,"Gisborne District.","Hawkes Bay/ Gisborne"
"2701",2701,117419,"1/11/18","Common Assault","Lake Horowhenua.",1855500,"Horowhenua District.","Wellington/ Lower-Central North"
"2702",2702,117424,"1/11/18","Common Assault","Fitzroy.",1599600,"New Plymouth District.","West Coast/ Upper-Central North"
"2703",2703,117429,"1/11/18","Common Assault","Fernhill.",2897300,"Dunedin City.","Southland/ Otago"
"2704",2704,117436,"1/11/18","Serious Assault Not Resulting in Injury","Taieri.",2974701,"Dunedin City.","Southland/ Otago"
"2705",2705,117441,"1/11/18","Serious Assault Not Resulting in Injury","Paremoremo East.",179600,"Auckland.","Auckland"
"2706",2706,117443,"1/11/18","Serious Assault Resulting in Injury","Epuni West.",1945300,"Lower Hutt City.","Wellington/ Lower-Central North"
"2707",2707,117448,"1/11/18","Serious Assault Resulting in Injury","Tauranga Hospital.",1166903,"Tauranga City.","Bay Of Plenty"
"2708",2708,117453,"1/11/18","Serious Assault Resulting in Injury","Carterton.",2258900,"Carterton District.","Wellington/ Lower-Central North"
"2709",2709,117458,"1/11/18","Serious Assault Resulting in Injury","Pukekohe West.",821303,"Auckland.","Auckland"
"2710",2710,117459,"1/11/18","Common Assault","Wigram.",2480700,"Christchurch City.","Canterbury"
"2711",2711,117464,"1/11/18","Common Assault","Auckland Central West.",435201,"Auckland.","Auckland"
"2712",2712,117469,"1/11/18","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.","Wellington/ Lower-Central North"
"2713",2713,117474,"1/11/18","Common Assault","Gisborne Central.",1371800,"Gisborne District.","Hawkes Bay/ Gisborne"
"2714",2714,117479,"1/11/18","Common Assault","Tamarau.",1384902,"Gisborne District.","Hawkes Bay/ Gisborne"
"2715",2715,117484,"1/11/18","Common Assault","Auckland Harbourside.",438214,"Auckland.","Auckland"
"2716",2716,117489,"1/11/18","Common Assault","Wainoni.",2568500,"Christchurch City.","Canterbury"
