Year,Round,Date,HomeTeam,HomeScore,AwayScore,AwayTeam,Venue
2009,7,"Saturday 16 May, 2:00 pm",Canterbury Tactix,47,48,Southern Steel,"Westpac Arena, Christchurch"
2009,7,"Sunday 17 May, 12:30 pm",West Coast Fever,49,74,Melbourne Vixens,"Challenge Stadium, Perth"
2009,7,"Monday 18 May, 7:00 pm",Waikato Bay of Plenty Magic,50,35,Northern Mystics,"Energy Events Centre, Rotorua"
2009,7,"Monday 18 May, 7:00 pm",New South Wales Swifts,54,58,Queensland Firebirds,Sydney Olympic Park Sports Centre
2009,7,BYES: Adelaide Thunderbirds and Central Pulse,,,,,
2009,8,"Saturday 23 May, 2:00 pm",Canterbury Tactix,49,46,Central Pulse,"Westpac Arena, Christchurch"
2009,8,"Sunday 24 May, 2:00 pm",Adelaide Thunderbirds,51,50,Queensland Firebirds,"ETSA Park, Adelaide"
2009,8,"Monday 25 May, 7:00 pm",Southern Steel,39,48,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
2009,8,"Monday 25 May, 7:00 pm",Melbourne Vixens,65,63,New South Wales Swifts,"Hisense Arena, Melbourne"
2009,8,BYES: Northern Mystics and West Coast Fever,,,,,
2009,9,"Saturday 30 May, 2:00 pm",Central Pulse,44,66,Southern Steel,"TSB Bank Arena, Wellington"
2009,9,"Sunday 31 May, 2:30 pm",Melbourne Vixens,57,53,Queensland Firebirds,"Hisense Arena, Melbourne"
2009,9,"Monday 1 June, 7:00 pm",Northern Mystics,47,46,Canterbury Tactix,"Trusts Stadium, Auckland"
2009,9,"Monday 1 June, 6:00 pm",West Coast Fever,41,61,Adelaide Thunderbirds,"Challenge Stadium, Perth"
2009,9,BYES: New South Wales Swifts and Waikato Bay of Plenty Magic,,,,,
2009,10,"Saturday 6 June, 2:00 pm",Central Pulse,45,59,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
2009,10,"Saturday 6 June, 1:30 pm",Adelaide Thunderbirds,58,34,Northern Mystics,"Adelaide Arena, Adelaide"
2009,10,"Sunday 7 June, 2:30 pm",Queensland Firebirds,62,61,New South Wales Swifts,Brisbane Convention and Exhibition Centre
2009,10,"Monday 8 June, 7:00 pm",Waikato Bay of Plenty Magic,55,48,Melbourne Vixens,"Queen Elizabeth Youth Centre, Tauranga"
2009,10,"Monday 8 June, 5:00 pm",West Coast Fever,59,48,Southern Steel,"Challenge Stadium, Perth"
2009,11,"Saturday 13 June, 2:00 pm",Canterbury Tactix,53,46,Queensland Firebirds,"Westpac Arena, Christchurch"
2009,11,"Sunday 14 June, 2:00 pm",Adelaide Thunderbirds,58,39,West Coast Fever,"ETSA Park, Adelaide"
2009,11,"Sunday 14 June, 6:30 pm",Central Pulse,35,67,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
2009,11,"Monday 15 June, 7:00 pm",Southern Steel,52,50,Northern Mystics,"Stadium Southland, Invercargill"
2009,11,"Monday 15 June, 7:00 pm",New South Wales Swifts,52,63,Melbourne Vixens,Sydney Olympic Park Sports Centre
2009,12,"Saturday 20 June, 2:00 pm",Northern Mystics,57,61,Melbourne Vixens,"Trusts Stadium, Auckland"
2009,12,"Saturday 20 June, 1:30 pm",Adelaide Thunderbirds,70,40,Central Pulse,"ETSA Park, Adelaide"
2009,12,"Sunday 21 June, 2:30 pm",New South Wales Swifts,60,63,West Coast Fever,Sydney Olympic Park Sports Centre
2009,12,"Monday 22 June, 7:00 pm",Waikato Bay of Plenty Magic,50,46,Canterbury Tactix,"Energy Events Centre, Rotorua"
2009,12,"Monday 22 June, 7:00 pm",Queensland Firebirds,52,50,Southern Steel,Brisbane Convention and Exhibition Centre
2009,13,"Saturday 27 June, 2:00 pm",Northern Mystics,57,59,Queensland Firebirds,"Trusts Stadium, Auckland"
2009,13,"Sunday 28 June, 12:30 pm",West Coast Fever,38,49,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
2009,13,"Sunday 28 June, 6:30 pm",Central Pulse,53,52,New South Wales Swifts,"Te Rauparaha Arena, Porirua"
2009,13,"Monday 29 June, 7:00 pm",Southern Steel,58,49,Adelaide Thunderbirds,"The Edgar Centre, Dunedin"
2009,13,"Monday 29 June, 7:00 pm",Melbourne Vixens,63,35,Canterbury Tactix,"Hisense Arena, Melbourne"
2009,14,"Saturday 4 July, 2:00 pm",Southern Steel,55,48,New South Wales Swifts,"Stadium Southland, Invercargill"
2009,14,"Saturday 4 July, 2:00 pm",Melbourne Vixens,80,39,Central Pulse,"Hisense Arena, Melbourne"
2009,14,"Sunday 5 July, 2:00 pm",Adelaide Thunderbirds,54,35,Waikato Bay of Plenty Magic,"Adelaide Arena, Adelaide"
2009,14,"Monday 6 July, 7:00 pm",Canterbury Tactix,63,56,Northern Mystics,"Westpac Arena, Christchurch"
2009,14,"Monday 6 July, 6:00 pm",West Coast Fever,52,54,Queensland Firebirds,"Challenge Stadium, Perth"
2009,15,"Sunday 12 July, 2:30 pm",Melbourne Vixens,58,43,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2009,15,"Monday 13 July, 6:30 pm",Adelaide Thunderbirds,51,45,Southern Steel,"ETSA Park, Adelaide"
2009,16,"Sunday 19 July, 7:00 pm",Waikato Bay of Plenty Magic,37,51,Adelaide Thunderbirds,"Mystery Creek Events Centre, Hamilton"
2009,17,"Sunday 26 July, 2:30 pm",Melbourne Vixens,54,46,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2010,1,Saturday 20 March 14:20 (UTC+13),Northern Mystics,55,52,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
2010,1,Sunday 21 March 13:50 (UTC+10),Queensland Firebirds,47,50,New South Wales Swifts,Gold Coast Convention and Exhibition Centre
2010,1,Sunday 21 March 18:50 (UTC+13),Southern Steel,46,44,West Coast Fever,"Stadium Southland, Invercargill"
2010,1,Monday 22 March 19:20 (UTC+13),Canterbury Tactix,54,48,Central Pulse,"Westpac Arena, Christchurch"
2010,1,Monday 22 March 19:05 (UTC+11),Melbourne Vixens,48,40,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2010,2,Saturday 27 March 14:20 (UTC+13),Central Pulse,50,61,Northern Mystics,"Te Rauparaha Arena, Porirua"
2010,2,Saturday 27 March 13:50 (UTC+10:30),Adelaide Thunderbirds,38,45,New South Wales Swifts,"ETSA Park, Adelaide"
2010,2,Sunday 28 March 14:50 (UTC+11),Melbourne Vixens,53,46,Queensland Firebirds,"Hisense Arena, Melbourne"
2010,2,Monday 29 March 19:20 (UTC+13),Waikato Bay of Plenty Magic,47,41,Southern Steel,"Energy Events Centre, Rotorua"
2010,2,Monday 29 March 17:05 (UTC+8),West Coast Fever,62,44,Canterbury Tactix,"Challenge Stadium, Perth"
2010,3,Saturday 3 April 14:20 (UTC+13),Northern Mystics,46,55,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
2010,3,Sunday 4 April 14:50 (UTC+10),Queensland Firebirds,40,41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2010,3,Sunday 4 April 18:50 (UTC+12),Canterbury Tactix,53,56,New South Wales Swifts,"Westpac Arena, Christchurch"
2010,3,Monday 5 April 19:20 (UTC+12),Southern Steel,56,44,Central Pulse,"Edgar Centre, Dunedin"
2010,3,Monday 5 April 18:05 (UTC+8),West Coast Fever,50,64,Melbourne Vixens,"Challenge Stadium, Perth"
2010,4,Saturday 10 April 14:20 (UTC+12),Waikato Bay of Plenty Magic,55,50,West Coast Fever,"Mystery Creek Events Centre, Hamilton"
2010,4,Saturday 10 April 14:20 (UTC+10),New South Wales Swifts,50,36,Central Pulse,"State Sports Centre, Sydney"
2010,4,Sunday 11 April 14:20 (UTC+9:30),Adelaide Thunderbirds,53,36,Southern Steel,"ETSA Park, Adelaide"
2010,4,Monday 12 April 19:20 (UTC+12),Canterbury Tactix,49,64,Melbourne Vixens,"Westpac Arena, Christchurch"
2010,4,Monday 12 April 19:05 (UTC+10),Queensland Firebirds,71,54,Northern Mystics,Brisbane Convention and Exhibition Centre
2010,5,Saturday 17 April 14:20 (UTC+12),Central Pulse,40,75,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
2010,5,Sunday 18 April 14:50 (UTC+10),New South Wales Swifts,55,43,West Coast Fever,Newcastle Entertainment Centre
2010,5,Sunday 18 April 18:50 (UTC+12),Canterbury Tactix,36,53,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
2010,5,Monday 19 April 19:20 (UTC+12),Southern Steel,41,56,Queensland Firebirds,"Stadium Southland, Invercargill"
2010,5,Monday 19 April 19:05 (UTC+10),Melbourne Vixens,62,51,Northern Mystics,"Hisense Arena, Melbourne"
2010,6,Saturday 24 April 14:20 (UTC+12),Northern Mystics,59,50,Canterbury Tactix,"Trusts Stadium, Auckland"
2010,6,Sunday 25 April 14:20 (UTC+10),Queensland Firebirds,62,41,Melbourne Vixens,Brisbane Convention and Exhibition Centre
2010,6,Monday 26 April 19:20 (UTC+12),Central Pulse,40,64,Southern Steel,"TSB Bank Arena, Wellington"
2010,6,Monday 26 April 18:05 (UTC+8),West Coast Fever,37,57,Adelaide Thunderbirds,"Challenge Stadium, Perth"
2010,6,BYES:  New South Wales Swifts and Waikato Bay of Plenty Magic,,,,,
2010,7,Saturday 1 May 14:20 (UTC+12),Canterbury Tactix,38,66,Southern Steel,"Westpac Arena, Christchurch"
2010,7,Sunday 2 May 14:50 (UTC+10),New South Wales Swifts,56,42,Melbourne Vixens,"Acer Arena, Sydney"
2010,7,Monday 3 May 19:20 (UTC+12),Waikato Bay of Plenty Magic,49,46,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
2010,7,Monday 3 May 19:05 (UTC+10),Queensland Firebirds,63,57,West Coast Fever,Brisbane Convention and Exhibition Centre
2010,7,BYES:  Adelaide Thunderbirds and Central Pulse,,,,,
2010,8,Saturday 8 May 14:20 (UTC+12),Waikato Bay of Plenty Magic,56,44,Central Pulse,"Energy Events Centre, Rotorua"
2010,8,Sunday 9 May 14:50 (UTC+10),New South Wales Swifts,60,44,Adelaide Thunderbirds,"State Sports Centre, Sydney"
2010,8,Monday 10 May 19:20 (UTC+12),Southern Steel,49,52,Northern Mystics,"Stadium Southland, Invercargill"
2010,8,Monday 10 May 19:05 (UTC+10),Melbourne Vixens,53,56,West Coast Fever,"Hisense Arena, Melbourne"
2010,8,BYES:  Queensland Firebirds and Canterbury Tactix,,,,,
2010,9,Saturday 15 May 14:20 (UTC+12),Waikato Bay of Plenty Magic,72,52,Canterbury Tactix,"Mystery Creek Events Centre, Hamilton"
2010,9,Sunday 16 May 14:20 (UTC+9:30),Adelaide Thunderbirds,58,47,Melbourne Vixens,"ETSA Park, Adelaide"
2010,9,Monday 17 May 19:20 (UTC+12),Northern Mystics,61,60,Central Pulse,"Trusts Stadium, Auckland"
2010,9,Monday 17 May 19:05 (UTC+10),New South Wales Swifts,44,40,Queensland Firebirds,"State Sports Centre, Sydney"
2010,9,BYES:  West Coast Fever and Southern Steel,,,,,
2010,10,Saturday 22 May 14:20 (UTC+12),Central Pulse,45,43,Canterbury Tactix,"TSB Bank Arena, Wellington"
2010,10,Sunday 23 May 14:20 (UTC+9:30),Adelaide Thunderbirds,53,51,Queensland Firebirds,"ETSA Park, Adelaide"
2010,10,Monday 24 May 19:20 (UTC+12),Southern Steel,52,47,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
2010,10,Monday 24 May 18:05 (UTC+8),West Coast Fever,52,61,New South Wales Swifts,"Challenge Stadium, Perth"
2010,10,BYES:  Melbourne Vixens and Northern Mystics,,,,,
2010,11,Saturday 29 May 14:20 (UTC+12),Northern Mystics,48,54,New South Wales Swifts,"Trusts Stadium, Auckland"
2010,11,Sunday 30 May 14:20 (UTC+9:30),Adelaide Thunderbirds,58,34,Canterbury Tactix,"ETSA Park, Adelaide"
2010,11,Sunday 30 May 18:50 (UTC+12),Southern Steel,52,39,Melbourne Vixens,"Edgar Centre, Dunedin"
2010,11,Monday 31 May 19:20 (UTC+12),Waikato Bay of Plenty Magic,54,55,Queensland Firebirds,"Energy Events Centre, Rotorua"
2010,11,Monday 31 May 17:05 (UTC+8),West Coast Fever,63,45,Central Pulse,"Challenge Stadium, Perth"
2010,12,Saturday 5 June 14:20 (UTC+12),Northern Mystics,62,53,West Coast Fever,"North Shore Events Centre, Auckland"
2010,12,Saturday 5 June 14:20 (UTC+10),Queensland Firebirds,52,42,Central Pulse,Brisbane Convention and Exhibition Centre
2010,12,Sunday 6 June 14:50 (UTC+10),Melbourne Vixens,43,54,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2010,12,Monday 7 June 19:20 (UTC+12),Southern Steel,53,39,Canterbury Tactix,"Stadium Southland, Invercargill"
2010,12,Monday 7 June 19:05 (UTC+10),New South Wales Swifts,60,43,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
2010,13,Saturday 12 June 14:20 (UTC+12),Central Pulse,52,58,Waikato Bay of Plenty Magic,"Pettigrew Green Arena, Napier"
2010,13,Saturday 12 June 14:20 (UTC+10),Melbourne Vixens,46,58,New South Wales Swifts,"Hisense Arena, Melbourne"
2010,13,Sunday 13 June 14:20 (UTC+9:30),Adelaide Thunderbirds,54,45,West Coast Fever,"Adelaide Arena, Adelaide"
2010,13,Monday 14 June 19:20 (UTC+12),Northern Mystics,43,50,Southern Steel,"Trusts Stadium, Auckland"
2010,13,Monday 14 June 19:05 (UTC+10),Queensland Firebirds,75,32,Canterbury Tactix,Brisbane Convention and Exhibition Centre
2010,14,Saturday 19 June 14:20 (UTC+12),Waikato Bay of Plenty Magic,53,44,Adelaide Thunderbirds,"Energy Events Centre, Rotorua"
2010,14,Sunday 20 June 12:50 (UTC+8),West Coast Fever,67,59,Queensland Firebirds,"Challenge Stadium, Perth"
2010,14,Sunday 20 June 18:50 (UTC+12),Canterbury Tactix,47,58,Northern Mystics,"Westpac Arena, Christchurch"
2010,14,Monday 21 June 19:20 (UTC+12),Central Pulse,48,49,Melbourne Vixens,"Te Rauparaha Arena, Porirua"
2010,14,Monday 21 June 19:05 (UTC+10),New South Wales Swifts,55,38,Southern Steel,"State Sports Centre, Sydney"
2010,15,Sunday 27 June 14:50 (UTC+10),New South Wales Swifts,38,52,Adelaide Thunderbirds,"Acer Arena, Sydney"
2010,15,Monday 28 June 19:20 (UTC+12),Waikato Bay of Plenty Magic,50,42,Southern Steel,"Vector Arena, Auckland "
2010,16,Sunday 4 July 14:50 (UTC+10),New South Wales Swifts,49,54,Waikato Bay of Plenty Magic,Newcastle Entertainment Centre
2010,17,Sunday 11 July 14:30 (UTC+9:30),Adelaide Thunderbirds,52,42,Waikato Bay of Plenty Magic,Adelaide Entertainment Centre
2011,1,Sunday 13 February,New South Wales Swifts,60,40,Adelaide Thunderbirds,"State Sports Centre, Sydney"
2011,1,Monday 14 February,Northern Mystics,51,34,Southern Steel,"Trusts Stadium, Auckland"
2011,2,Saturday 19 February,Central Pulse,44,54,Northern Mystics,"Te Rauparaha Arena, Porirua"
2011,2,Sunday 20 February,Adelaide Thunderbirds,47,65,Melbourne Vixens,"ETSA Park, Adelaide"
2011,2,Sunday 20 February,Waikato Bay of Plenty Magic,51,36,Southern Steel,"Energy Events Centre, Rotorua"
2011,2,Monday 21 February,Canterbury Tactix,48,54,West Coast Fever,"CBS Canterbury Arena, Christchurch"
2011,2,Monday 21 February,Queensland Firebirds,51,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
2011,3,Thursday 24 February,Northern Mystics,39,45,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
2011,3,Thursday 24 February,West Coast Fever,53,72,Adelaide Thunderbirds,"Challenge Stadium, Perth"
2011,3,Saturday 26 February,Central Pulse,43,45,Southern Steel,"Te Rauparaha Arena, Porirua"
2011,3,Saturday 26 February,Queensland Firebirds,64,41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2011,3,Sunday 27 February,New South Wales Swifts,45,49,Melbourne Vixens,"State Sports Centre, Sydney"
